date,title,digest,score
2021-12-22,政策动态丨国家发改委做好基础设施REITs项目协调服务落实发行各项条件,国家发改委发布关于进一步推进投资项目审批制度改革的意见，其中提出做好基础设施REITs项目协调服务。要求对拟申报项目加强沟通，了解进展和问题，帮助办理相关手续以落实发行条件。同时，对REITs回收资金投入的新项目加强跟踪服务，加快前期工作和开工进度。,1
2021-12-28,政策动态丨文旅部支持文化园区运用REITs改造完善基础设施和服务设施,文旅部发布意见，支持国家级文化产业园区高质量发展。意见提出，支持园区运用基础设施领域不动产投资信托基金（REITs）等模式，改造完善基础设施和服务设施。,1
2021-12-31,政策动态丨发改委加快推进基础设施领域REITs申报,国家发展改革委发布通知，要求加快推进基础设施领域不动产投资信托基金（REITs）申报工作。通知强调推动基础设施REITs健康发展，以盘活存量资产并形成投资良性循环。具体措施包括加强项目储备与辅导、安排专人对接服务、加快无异议函等手续办理、优化申报流程并无名额限制，同时要求跟踪监督回收资金使用情况，鼓励各地出台支持措施并推广典型经验。,1
2022-01-19,政策动态丨中国证监会推动拓宽基础设施公募REITs试点范围,中国证监会召开2022年系统工作会议，提出将推动拓宽基础设施公募REITs试点范围。会议旨在研究出台更多有利于稳增长、稳预期的政策措施，并继续全面深化资本市场改革。,1
2022-01-19,政策动态丨国家发改委推进REITs试点推动盘活存量资产形成投资良性循环,国家发改委在新闻发布会上表示，将推进基础设施领域不动产投资信托基金（REITs）试点，以推动盘活存量资产，形成投资良性循环。,1
2022-01-26,政策动态丨国家发改委商务部支持开展基础设施领域不动产投资信托基金REITs试,国家发改委和商务部发布意见，支持在深圳开展基础设施领域不动产投资信托基金（REITs）试点。意见提出探索基础设施收费机制改革，合理提高资产端收费标准以提升资产收益率，并研究基础设施REITs税收政策，旨在减轻企业和投资者负担。,1
2022-01-29,政策动态丨财政部税务总局发布基础设施领域不动产投资信托基金REITs试点税收,财政部与税务总局发布基础设施REITs试点税收政策公告。政策明确，原始权益人在设立REITs前划转资产适用特殊性税务处理，不征收企业所得税。REITs设立阶段，原始权益人转让项目公司股权的评估增值可暂不缴纳企业所得税，允许递延至完成募资后缴纳；战略配售自持份额对应的增值允许递延至实际转让时缴纳。政策自2021年1月1日起实施。,2
2022-01-30,政策动态证监会2022年将制定不动产投资信托基金办法公募REITs有望迎来专,证监会2022年立法工作计划中，将制定《不动产投资信托基金办法》列为需要抓紧研究、择机出台的项目。,1
2022-02-10,政策动态丨两部委宣布研究将清洁低碳能源项目纳入REITs试点范围,国家发改委与国家能源局联合发布文件，提出将研究把清洁低碳能源项目纳入基础设施REITs试点范围，以完善能源绿色低碳转型的多元化投融资机制。该政策旨在加大对清洁低碳能源项目的投融资支持。,1
2022-02-10,政策动态丨四部门鼓励具备条件的城镇环境基础设施项目稳妥开展REITs试点,国家发改委等四部门联合印发指导意见，提出在不新增地方政府隐性债务的前提下，鼓励具备条件的城镇环境基础设施项目稳妥开展基础设施REITs试点。该政策旨在加快推进城镇环境基础设施建设，并引导社会资本参与。,1
2022-02-18,政策动态丨发改委等12部门促进工业经济平稳增长推动基础设施REITs健康发展,国家发改委等12部门联合发布促进工业经济平稳增长的政策通知，提出推动基础设施领域不动产投资信托基金（REITs）健康发展，以有效盘活存量资产，形成存量资产和新增投资的良性循环。,1
2022-02-25,行业动态丨基金通平台下周一上线多只REITs公告开通基金通,深交所基金通平台将于2月28日上线，平安广州广河REIT等6只公募REITs将开通份额转让业务。场外投资者无需证券账户即可通过基金通平台参与场内基金交易。该平台后续或推广至ETF等品种。,1
2022-03-20,政策动态丨证监会深入推进公募REITs试点进一步促进投融资良性循环,证监会发布通知深入推进公募REITs试点，旨在促进投融资良性循环。通知提及正在研究制定基础设施REITs扩募规则，并推动保障性租赁住房公募REITs试点项目落地。,1
2022-03-21,行业解读丨监管层再次释放积极信号保障性租赁住房公募REITs试点项目将落地,证监会表示将深入推进公募REITs试点，推动基础设施REITs健康发展，并正在研究制定扩募规则。同时，证监会正会同相关部委研究推动保障性租赁住房REITs试点工作，尽快推动项目落地。沪深交易所称正积极配合证监会推进基础设施REITs试点，完善制度机制，拓宽试点范围。,1
2022-03-28,政策动态丨国家发改委推动更多符合条件的存量项目发行基础设施REITs,国家发改委发布通知，推动更多符合条件的存量项目发行基础设施REITs，以打通投资退出渠道，提升企业参与基础设施建设的积极性。通知强调加强社会资本投融资合作对接，并加大盘活存量资产力度。,1
2022-04-16,行业动态丨上交所就基础设施REITs扩募规则公开征求意见,上交所就基础设施REITs扩募指引公开征求意见，该指引规范了存续期REITs新购入基础设施项目及扩募等事项。扩募机制有利于REITs增发份额收购资产、优化投资组合和促进并购活动，支持运作良好的REITs做大做强，是市场建设的重要环节。上交所将根据反馈修订指引并推动扩募项目落地。,1
2022-04-16,行业动态丨深交所就基础设施REITs新购入项目指引公开征求意见,深交所就基础设施REITs新购入项目指引公开征求意见，该指引细化了已上市基础设施REITs新购入基础设施项目的扩募、信息披露、决策和审批等具体安排，旨在完善REITs配套规则，提升市场透明度并促进投融资良性循环。,1
2022-04-25,行业分析丨扩募规则利于公募REITs市场加快扩容定价运营等难点仍有待探索,沪深交易所就公募REITs新购入基础设施项目指引公开征求意见，该指引被称为“扩募规则”，允许使用扩募资金等方式购入新项目，有望促进REITs市场加快扩容。行业人士指出，扩募后的合理定价需平衡原持有人、新投资者和原始权益人利益，并考虑二级市场价格；同时，扩募项目的运行管理机制，如多原始权益人情况下的权利义务界定，仍是实务难点。,1
2022-04-26,政策动态丨发改委积极探索民用空间基础设施PPPREITs等投融资新模式,"国家发展改革委召开遥感卫星PPP项目总结会，提出将积极探索PPP+REITs等投融资新模式，鼓励社会资本参与民用空间基础设施建设运营。会议指出PPP试点项目有效调动了民营资本，提升了投资效益和数据服务能力。""十四五""期间将加大PPP推广力度，培育卫星应用市场，推进民用空间基础设施市场化、产业化发展。",1
2022-05-05,政策动态丨证监会积极支持房地产企业债券融资研究拓宽基础设施REITs试点范围,证监会召开专题会议，提出在助力宏观经济大盘稳定方面将积极支持房地产企业债券融资，并研究拓宽基础设施REITs试点范围。,1
2022-05-11,政策动态丨发改委积极扩大有效投资促进经济平稳健康发展,国家发改委表示正积极扩大有效投资以促进经济平稳健康发展，并明确提及将推动基础设施领域不动产投资信托基金（REITs）健康发展，以盘活存量资产、形成投资良性循环。新闻指出政府将发挥投资引导作用，调动社会投资积极性，并持续推进投资领域改革。,1
2022-05-11,行业动态丨公募REITs试点扩围进行时各方积极备战保障性租赁住房项目市政新能,证监会表示将拓宽基础设施公募REITs试点范围。监管机构和市场各方正积极推动保障性租赁住房公募REITs试点，市政公用事业、新能源等项目已被纳入基金公司项目储备库。沪深交易所支持保障性租赁住房REITs试点，并已就公募REITs扩募规则征求意见。深圳市发改委通知加快推进REITs试点项目入库工作，涵盖十大行业领域。多家基金公司正在积极储备和推进保障性租赁住房及其他多领域基础设施公募REITs项目。,1
2022-05-12,政策动态丨国常会稳住经济大盘以REITs盘活基建存量资产,国务院常务会议提出通过发行不动产投资信托基金（REITs）等方式盘活基础设施等存量资产，以拓宽社会投资渠道、扩大有效投资。会议还要求财政货币政策以就业优先为导向，稳住经济大盘，并部署了包括退减税、缓缴社保费、降融资成本在内的一系列措施。,2
2022-05-23,政策动态丨证监会发布公募基金管理人监督管理办法支持设立子公司专门从事公募RE,证监会发布《公开募集证券投资基金管理人监督管理办法》，支持基金管理公司设立专业子公司专门从事公募REITs业务。该办法完善了公募基金管理人监管要求，允许基金管理公司与基础设施项目原始权益人合资设立子公司开展公募REITs业务，并明确了相关条件。,1
2022-05-24,行业研究丨基金公司与原始权益人设立子公司专门从事公募REITs业务有何重要意,证监会发布新规，允许基金管理公司与基础设施项目原始权益人合资设立子公司专门从事公募REITs业务。新规为原始权益人参与公募REITs产品发行提供了途径，旨在使原始权益人与公募基金利益更一致，减少信息不对称和委托代理成本。,1
2022-05-25,政策动态丨国务院推动基础设施REITs健康发展研究推进相关立法工作,国务院办公厅发布意见，推动基础设施REITs健康发展，鼓励更多符合条件的项目发行上市。将提高推荐和审核效率，对重要项目可灵活确定运营年限和收益集中度要求。意见提出建立健全扩募机制，探索建立多层次REITs市场，并研究推进REITs相关立法工作。,2
2022-05-28,政策动态丨证监会发改委发布保障性租赁住房REITs通知,证监会与国家发展改革委联合发布通知，推动保障性租赁住房发行基础设施REITs试点。通知明确了发起主体需为开展保障性租赁住房业务的独立法人，并强调回收资金须优先用于新的保障性租赁住房项目建设或其他基础设施补短板领域。通知要求压实参与机构责任，防范资金违规流入商品住宅和商业地产开发，并加强市场监管与协作，以促进保障性租赁住房REITs规范有序开展。,2
2022-05-28,行业动态丨重磅两单保障性租赁住房项目同日申报交易所,两单保障性租赁住房REITs项目同日申报交易所。深交所项目由深圳市人才安居集团发起，涉及4个优质项目、1830套住房，资产评估值约11.58亿元，租金低于市场水平，募集资金将用于深圳保障性租赁住房建设。上交所项目由厦门安居集团申报，包含两个保障性租赁住房项目。,1
2022-05-30,政策动态丨发改委国家能源局探索将新能源项目纳入基础设施不动产投资信托基金RE,国家发展改革委和国家能源局发布的《关于促进新时代新能源高质量发展的实施方案》提出，将研究探索将新能源项目纳入基础设施不动产投资信托基金（REITs）试点支持范围。该方案旨在通过金融支持政策促进新能源发展，并明确表示应尽快完善项目程序流程和规范，积极推进新能源项目挂牌并扩大支持规模。,1
2022-06-01,政策动态丨上交所83号文深交所530号文基础设施REITs扩募指引正式发布,上交所和深交所正式发布了基础设施REITs扩募指引。该指引明确了REITs新购入基础设施项目的条件、程序、信息披露要求和扩募发售安排。扩募可采用向原持有人配售、公开扩募和定向扩募三种方式。指引强调扩募要求与首次发售一致，并强化内幕信息管理和利益冲突防范。交易所暂免收取扩募业务的上市初费、上市年费及交易经手费。,1
2022-07-13,政策动态丨发改委发布关于做好基础设施领域不动产投资信托基金REITs新购入项,国家发改委发布通知，要求做好基础设施REITs新购入项目申报推荐工作。通知强调运用新购入项目机制推动REITs健康发展，并适当简化了申报要求，包括不再要求新购项目净值原则上不低于10亿元，以及简化部分申报材料。通知还明确了新购入项目的申报推荐程序，要求保障项目质量，并引导回收资金用于基础设施补短板领域的新项目建设。,1
2022-08-16,行业动态丨国家发改委近20个较成熟的REITs项目正在加快推进,国家发改委表示近20个较成熟的REITs项目正在加快推进，目前还有6个项目正在开展委托评估。发改委已向证监会推荐了包括深圳人才安居集团、厦门安居集团、北京保障房中心等三个保障性安居工程项目在内的多个项目，并正在辅导超过80个意向项目。国务院办公厅印发的《关于进一步盘活存量资产扩大有效投资的意见》对基础设施REITs工作提出全面要求，旨在提高推荐审核效率，鼓励更多项目上市。下一步，发改委将在严格把关项目质量的前提下进一步提高推荐效率，推动市场规模扩容，并积极推进符合条件的民营企业项目发行上市。,1
2022-09-02,政策动态丨银保监会保险公司投资公募REITs放宽资本比例按80进行计量,银保监会在《保险公司偿付能力监管规则（Ⅱ）》中，对保险公司投资公募REITs给予优惠政策，允许其最低资本按80%的比例计量。截至今年二季度末，保险业共投资公募REITs约70亿元，占公募REITs总规模约13%，该政策节约保险公司最低资本约7.2亿元。,2
2022-09-26,政策动态丨国家发改委基础设施建设领域PPP模式规范发展基础设施领域REITs,国家发改委在重大基础设施建设专题新闻发布会上宣布，基础设施领域REITs试点取得突破，累计募集规模已超过360亿元。同时，政府与社会资本合作（PPP）模式在基础设施建设领域正规范发展。,1
2022-10-30,政策动态丨国务院金融情况工作报告扩大REITs试点范围,国务院金融工作报告提出将稳步扩大REITs试点范围，以促进盘活存量资产。报告还提及要加大金融对实体经济支持力度，用好政策性开发性金融工具支持重大项目建设。,1
2022-11-07,国家发改委1652号文提升民营企业参与基础设施REITs试点的积极性,国家发改委发布1652号文，提出加大力度支持民间投资发展。文件明确支持民间投资项目参与基础设施REITs试点，对各类所有制企业一视同仁，加快推出民间投资具体项目以形成示范效应。意见旨在提升民营企业参与基础设施REITs试点的积极性，鼓励其拿出优质项目参与试点，以降低资产负债率，实现轻资产运营并增强再投资能力。,1
2022-11-14,央行银保监会发布16条措施支持房地产及稳步推进REITs试点,央行与银保监会发布16条措施支持房地产市场平稳健康发展，涉及保持房地产融资平稳有序、做好“保交楼”金融服务、受困房企风险处置、保障住房金融消费者权益、调整金融管理政策及加大住房租赁金融支持。具体措施包括稳定开发贷款和个人住房贷款投放，支持存量融资展期，保持债券和信托融资稳定，提供“保交楼”专项借款，优化租赁信贷服务，并拓宽租赁市场融资渠道，稳步推进REITs试点。,1
2022-12-01,保障房REITs有望扩展至多个二线城市,证监会推动保障性租赁住房REITs常态化发行，打造REITs市场“保租房板块”。保障房REITs有望扩展至青岛、天津、西安、河南等二线城市试点。西安高新区已发布保障房REITs发行招标公告。首批保租房REITs项目租金较周边市场平均折让约40%，出租率接近满租，租金收缴率接近100%。,1
2022-12-10,中证REITs指数即将发布首批14只REITs入选,中证REITs指数将于2022年12月15日发布，反映沪深市场上市基础设施REITs的整体表现。该指数从上市超过三个月、过去一年日均成交金额超过500万元的REITs中选取样本，首批包含14只REITs，采用自由流通市值加权。指数基日为2021年9月30日，基点1000点，样本每季度调整一次。,1
2022-12-22,证监会加快打造保障性租赁住房REITs板块大力支持房地产市场平稳发展,证监会党委会议提出要加快打造保障性租赁住房REITs板块，以支持房地产市场平稳发展。会议明确将大力推动资本市场支持房地产发展模式转型的各项政策措施落地见效，包括允许符合条件的房企“借壳”上市和推进涉房重组。,1
2022-12-29,证监会副主席李超走好中国特色REITs发展之路,证监会副主席李超总结了中国REITs市场的发展特征，包括坚持服务实体经济、从试点到常态化发行、坚持高标准稳起步、采用“公募基金+ABS”运作模式。下一步将推进常态化发行，扩大试点范围至新能源、水利、新基建等领域，完善市场体系，强化监管，完善法规制度，并发挥各方合力推动市场发展。,1
2023-01-06,证监会重磅发声研究推动REITs立法和社保基金等长期投资者参与REITs投资,证监会表示将研究推动REITs专门立法，并推动全国社保基金、基本养老金等长期机构投资者参与REITs投资。试点范围将尽快覆盖到新能源、水利、新基建等领域，并加快打造保障性租赁住房REITs板块。此外，将完善REITs的会计处理和税收征管细则，优化审核流程，推动常态化发行。,1
2023-01-11,韩志峰高质量发展中国REITs贯彻六个必须坚持,国家发展改革委投资司副司长韩志峰提出，中国REITs发展需贯彻六个“必须坚持”：严把资产质量关，强调高比例分红，兼顾商业与公共属性；不盲从国外经验，坚持探索中国特色发展之路；在守正基础上创新解决重点难点问题；直面问题并寻求解决之策；统筹考虑系统性问题；从推动高质量发展的全局角度开展工作。,1
2023-01-31,国家发改委优化REITs市场环境研究税收政策减轻企业和投资者负担,国家发改委和商务部发布关于深圳建设中国特色社会主义先行示范区的意见，提出优化基础设施REITs市场环境。措施包括探索基础设施收费机制改革，创新资产有偿使用制度，合理提高资产端收费标准以提升收益率；并研究REITs税收政策，支持开展试点，旨在减轻企业和投资者负担。,1
2023-02-23,中基协研究推出ABS公开发行方式探索建立多层次REITs市场,中国证券投资基金业协会召开会议，研究推出ABS公开发行方式，强化“真实出售、破产隔离”，并探索建立多层次REITs市场。会议提出拓宽REITs试点资产类型，调整项目收益率和资产规模要求，推动扩募常态化发行，提高二级市场流动性，优化审核流程。2023年1月企业资产证券化产品备案规模环比增长49.41%，其中REITs类产品新增备案规模110.08亿元。,1
2023-02-25,人民银行银保监优先支持雄安新区海南自贸港深圳先行示范区等开展REITs试点,人民银行与银保监会发布《关于金融支持住房租赁市场发展的意见（征求意见稿）》，提出稳步推进房地产投资信托基金（REITs）试点工作，募集资金用于住房租赁企业持有并经营长期租赁住房。文件明确，将优先支持雄安新区、海南自由贸易港、深圳中国特色社会主义先行示范区等国家政策重点支持区域以及人口净流入的大城市开展REITs试点。,1
2023-03-25,证监会发布关于进一步推进基础设施领域不动产投资信托基金REITs常态化发行相,证监会发布通知推进基础设施REITs常态化发行，提出四方面12条措施。措施包括支持消费基础设施发行REITs，优先支持百货商场、购物中心等项目；分类调整项目收益率和资产规模要求；优化审核注册机制；加强全链条监管；并推动REITs专项立法。通知旨在健全REITs市场功能，完善基础制度和监管安排。,2
2023-04-15,证监会2023年积极推进REITs管理条例立法工作,证监会2023年积极推进《不动产投资信托基金管理条例》立法工作，将其纳入年度立法计划。此前人大代表建议制定该条例，提出简化REITs产品结构、明确直接公开发行与上市规则、实施国务院证券监督管理机构集中统一监管、以及明确REITs税收政策，以提供法律保障并解决试点中存在的产品结构复杂、管理成本高和法律责任依据不足等问题。,1
2023-04-26,发改委投资司副司长韩志峰将更大力度推动民营企业发行REITs,发改委投资司副司长韩志峰表示将更大力度推动民营企业发行REITs，支持更多民企项目发行，优化流程提高效率，并研究解决消费基础设施、文化旅游等新类型项目发行REITs的重点难点问题。北京证监局建议简化程序流程，并重点推动解决国有企业考核激励问题。三大交易所表示将推动REITs市场高质量扩容，上交所、深交所和北交所均提出将推进制度优化、产品创新和常态化发行。北京市已有7只REITs产品上市，发行规模和数量居国内首位，上交所将支持打造REITs产业发展的“北京模板”。,1
2023-05-12,交易所修订REITs业务指引第1号审核关注事项,交易所修订REITs业务指引第1号审核关注事项，自5月12日起施行。修订内容包括细化业务参与机构、评估和现金流要求，规范产品设计，明确产业园区和收费公路项目的特殊合规与信息披露要求。修订还涉及基金经理兼任安排、费用收取水平、战略配售比例和二级市场风险防控等规定。,1
2023-05-12,证监会指导证券交易所发布公募REITs业务指引,证监会指导证券交易所修订并发布公募REITs业务指引，以“管资产”为核心优化审核关注事项，强化信息披露要求，并明确了产业园区、收费公路两大类资产的审核和信息披露标准，旨在提高审核透明度、加快发行节奏。指引总结了试点经验，结合资产特性细化审核重点，并计划分步推出仓储物流、保障性租赁住房等大类资产的审核及信息披露规则，以建立健全透明可预期的审核注册标准，强化市场监管和投资者保护。,1
2023-06-16,国家发改委着力促进民间投资稳妥开展REITs工作,国家发改委投资司召开金融机构投资项目前期工作质量提升专题培训会，强调要着力促进民间投资，稳妥开展基础设施领域不动产投资信托基金（REITs）工作。会议系统讲解了投资政策工具，并围绕新版投资项目可行性研究报告编写大纲的贯彻实施提出要求，以提升项目前期工作质量，促进投资精准有效落地。,1
2023-06-17,五部门鼓励运用公募REITs支持规模化住房租赁企业发展,中国人民银行等五部门联合发布指导意见，鼓励运用基础设施领域不动产投资信托基金（REITs）支持专业化、规模化住房租赁企业发展。该意见旨在通过金融工具支持乡村振兴和农业强国建设。,1
2023-07-06,利好来了国家队FOF基金入场REITs,多家基金公司公告将公募REITs纳入部分FOF基金投资范围，更新了基金合同和托管协议，增加REITs投资策略并明确估值方法。此举丰富了REITs投资者结构，有望提高二级市场流动性。受此消息影响，上市REITs价格全部上涨。,2
2023-07-07,中国证监会周小舟推动公募FOF基金配置REITs研究推出公司型REITs,中国证监会正推动公募FOF基金配置REITs，并研究推出公司型REITs。证监会将推动REITs市场与香港互联互通，引入境外投资者，并加快推进REITs专项立法。目前REITs试点已批准33只产品，募集资金近1000亿元，资产范围覆盖十大领域。证监会还将完善信息披露体系，推动社保基金等长期机构投资者参与投资。,1
2023-07-17,多家基金公司已递交申请函REITs指数基金终于要来了,多家基金公司已向交易所递交REITs指数基金申请函，REITs指数基金正在筹备中。推出时间取决于监管统筹安排，需满足指数发布满6个月、成分REITs数量不低于30只等要求。目前中证REITs指数样本数量为24只，自由流通市值合计363.02亿元。REITs指数基金可为投资者提供一篮子REITs投资工具，分散风险，并有望活跃REITs市场。中证指数公司未来将择机发布实时指数并丰富REITs指数体系。,1
2023-07-24,国家发改委推荐更多民间投资项目发行REITs,国家发改委发布通知，推荐更多符合条件的民间投资项目发行基础设施REITs，以促进资产类型多样化，拓宽民间投资投融资渠道，降低企业资产负债率，提升再投资能力。通知要求各省级发展改革委加强沟通协调，帮助落实存量资产盘活条件，支持民间投资项目发行基础设施REITs。,1
2023-07-26,证监会抓紧推动消费基础设施等新类型公募REITs项目落地,中国证监会召开2023年系统年中工作座谈会，会议提出要抓紧推动消费基础设施等新类型公募REITs项目落地。会议还强调要进一步提升服务国家重大战略的质效，推动公司债和企业债协同发展。,1
2023-07-31,国办函202370号文支持符合条件的消费基础设施发行REITs,国务院办公厅转发国家发展改革委关于恢复和扩大消费措施的通知，其中明确提出支持符合条件的消费基础设施发行不动产投资信托基金（REITs）。该文件旨在恢复和扩大消费，完善消费基础设施建设支持政策。,2
2023-08-01,国家发改委1054号文扩大基础设施领域REITs发行规模,国家发改委等部门发布1054号文，提出扩大基础设施领域不动产投资信托基金（REITs）发行规模，并推动符合条件的民间投资项目发行基础设施REITs，以进一步扩大民间投资。,2
2023-08-07,上交所鼓励央企充分运用公募REITs助力央企改革做优做强,上交所鼓励央企充分运用公募REITs等资本市场工具，助力央企改革做优做强。上交所已推进4单央企REITs项目完成发行，融资规模232亿元，项目涵盖收费公路、保障性租赁住房、清洁能源等基础设施类型。上交所已制定新一轮央企综合服务三年行动计划，将继续支持央企运用REITs等产品盘活存量资产。,1
2023-08-18,重磅证监会加快推动REITs常态化发行和高质量扩容推出REITs指数基金,证监会将加快推动REITs常态化发行和高质量扩容，推出REITs相关指数及指数基金，优化REITs估值体系和发行询价机制，培育专业投资者群体，并加快推动REITs市场与香港市场互联互通。,2
2023-09-04,发改委已向证监会推荐首单民间投资清洁能源REITs项目,国家发展改革委已向证监会推荐首单民间投资清洁能源REITs项目，即金风科技风力发电项目。同时，各地上报了一批民间投资基础设施REITs项目，涵盖清洁能源、大数据中心、消费基础设施、仓储物流、产业园区等多个行业类别，正在抓紧评估，力争尽快向证监会推荐更多符合条件的民间投资项目。,1
2023-09-09,证监会就修改公开募集基础设施证券投资基金指引试行第五十条公开征求意见,中国证监会就修改《公开募集基础设施证券投资基金指引（试行）》第五十条公开征求意见，旨在进一步拓宽基础设施REITs试点资产范围，丰富投资者选择，并与2023年3月发布的推进REITs常态化发行通知进行配套衔接。此次修改是为了以规章制度形式明确底层资产范围。,1
2023-09-30,国办发202336号文鼓励依托景区项目发行REITs,国务院办公厅印发《关于释放旅游消费潜力推动旅游业高质量发展的若干措施》，其中在拓宽融资渠道方面明确提出，鼓励在依法界定各类景区资源资产产权主体权利和义务的基础上，依托景区项目发行基础设施领域不动产投资信托基金（REITs）。文化和旅游部将会同相关部门推进更多符合条件的旅游类基础设施REITs项目发行上市，形成梯次推进格局。,1
2023-10-09,工信部等六部门推动符合条件的算力项目申报发行REITs,工信部等六部门联合印发《算力基础设施高质量发展行动计划》，提出加大对算力基础设施创新发展的金融支持力度，推动符合条件的算力项目申报发行基础设施领域不动产投资信托基金（REITs）。,1
2023-10-14,保险资管正式获准试点开展REITs业务,沪深交易所已向首批5家保险资产管理公司出具无异议函，同意其试点开展资产证券化及REITs业务。此举旨在丰富REITs市场参与机构形态，促进保险资金与资本市场协同发展，并推动盘活优质资产入市。交易所表示将逐步拓展更多优质主体参与ABS及REITs市场。,2
2023-10-20,证监会发布关于修改公开募集基础设施证券投资基金指引试行第五十条的决定,证监会发布决定，修改《公开募集基础设施证券投资基金指引（试行）》第五十条，将公募REITs试点资产范围拓展至消费基础设施。此举旨在拓宽试点资产范围，丰富投资者选择，促进市场健康发展，并与前期政策文件配套衔接。下一步，证监会将推进符合条件的消费基础设施项目发行公募REITs，同时强化市场监管。,2
2023-10-22,央行行长推动基础设施和住房租赁领域REITs市场建设盘活存量资产,央行行长潘功胜表示，要推动基础设施领域和住房租赁领域不动产投资信托基金（REITs）市场建设，盘活存量资产。首批基础设施REITs扩募项目已顺利上市交易，资产范围拓宽至消费基础设施等领域。,1
2023-10-24,国家发改委召开REITs项目前期辅导培训会已推荐41个项目扩容步伐有望加速,国家发改委召开基础设施REITs项目前期辅导培训会，旨在提高项目推荐质量和效率。会议强调了前期辅导工作对提高REITs项目申报质量和发行效率的重要性。目前，已推荐41个项目，有21个项目正在委托评估，基础设施REITs市场扩容步伐有望明显加速。,1
